Ticker,Name,Industry,Year,Financial Statement,Cash,Short Term Investment Cash,Cash & Short Term Investments,Accounts Receivables,Inventories,Other Current Assets,Total Current Assets,"Gross Property, Plant and Equipment",Total Depreciation,Intangible Assets,Total Other Assets,Total Assets,Accounts Payable,Short Term Debt,Accrued Expenses (Liability),Other Current Liabilities,Other Liabilities,Long Term Debt,Deferred Taxes (Liability),Other Liabilities 1,Total Liabilities,Minority Interest (Equity),Preferred Stock (Equity),Common Equity,Total Shareholder Equity,Common Shares Outstanding,Prepaid Expenses,Cash Due From Banks (Asset),Ticker (Income Statement Data),Year (Income Statement Data),Financial Statement (Income Statement Data),Net Revenues,Cost of Goods Sold,Depreciation And Amortization Expense,Gross Income,General Expenses,Research And Development Expense,Total Operating Expenses,Operating Income,Extraordinary Credit,Extraordinary Charge,Interest Expense On Debt,Other Non-Operating Expenses,Pre-Tax Income,Income Tax Expense,Net Income,Shares To Calculate EPS,Shares To Calculate EPS Diluted,Earnings Per Share,Diluted Earnings Per share,Discontinued Operations,Extraordinary Items,Minority Interest,Pre-Tax Equity Earnings,Equity In Earnings,Other Operating Expenses,Preferred Dividend,Other Operating Income,Loan Loss Provision,Interest Expense Total,Interest Income,Non-Interest Income Total,Non-Interest Expense,Underwriting Expenses,Premiums Earned,Claim And Loss,Asset Turnover for Industry,Net Income for Industry,Equity for Industry,Sales for Industry,Assets for Industry,Positive Net Income,ROE for Industry,ROE (Income/Equity),Profit Margin (Income/Sales),Asset Turnover (Sales/Assets),Financial Leverage (Assets/Equity),Financial Leverage for Industry,Profit Margin for Industry
ZHNE,Zhone Technologies Inc.,Public Utilities,2013,Balance Sheet,15700000,4600000,15700000,33300000,19600000,2300000,70800000,15800000,-15000000,0,254000,71800000,12700000,10000000,5500000,6700000,31600000,0,0,2700000,34300000,0,0,37600000,37600000,32200000,0,0,ZHNE,2013,Income Statement,122200000,75700000,367000,46100000,41700000,15300000,117800000,4400000,-??,0,85000,-7000,4400000,-42000,4300000,31400000,33000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0
BWP,Boardwalk Pipeline Partners L.P.,Public Utilities,2013,Balance Sheet,28500000,24600000,28500000,128900000,700000,6100000,177100000,8700000000,-1500000000,252800000,424700000,7900000000,66300000,400000,45400000,96800000,236000000,3400000000,0,76700000,3900000000,-28000000,0,3900000000,3900000000,243300000,12900000,0,BWP,2013,Income Statement,1200000000,281600000,271600000,652400000,117600000,0,766700000,438900000,1700000,-59200000,166200000,29800000,250700000,-500000,222200000,220500000,226800000,1,1,0,0,-28000000,-1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
TEF,Telefonica S.A.,Public Utilities,2013,Balance Sheet,13700000000,387100000,16700000000,14000000000,1400000000,6700000000,40300000000,154400000000,-111700000000,57800000000,57800000000,163800000000,11200000000,12900000000,0,13700000000,40200000000,66600000000,-4600000000,5700000000,125900000000,-500100000,0,29200000000,29200000000,4600000000,1600000000,0,TEF,2013,Income Statement,75900000000,45300000000,12800000000,17800000000,4300000000,0,64200000000,11700000000,1800000000,-2000000000,3900000000,302000000,8800000000,-1700000000,6100000000,4600000000,4600000000,1,1,0,0,-500100000,0,-404400000,1800000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0
GLOW,Glowpoint Inc.,Public Utilities,2013,Balance Sheet,2300000,76000,2300000,4100000,0,0,6700000,14500000,-11600000,15800000,16300000,25900000,1900000,1200000,1200000,2100000,5900000,10300000,0,0,16200000,0,167000,9500000,9700000,35300000,320000,0,GLOW,2013,Income Statement,33500000,19500000,2900000,11100000,10400000,662000,32800000,696000,103000,-2100000,2900000,0,-4200000,-30000,-4200000,30500000,30500000,0,0,0,0,0,0,0,0,-20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
OTEL,Otelco Inc.,Public Utilities,2013,Balance Sheet,9900000,-22600000,9900000,7700000,1700000,905000,22000000,281300000,-226800000,49000000,51700000,131700000,1600000,7400000,5100000,6600000,16100000,121200000,-21600000,139000,161400000,0,0,-29700000,-29700000,2900000,1900000,0,OTEL,2013,Income Statement,79000000,36600000,12600000,29800000,11100000,0,60300000,18700000,109300000,-??,12700000,275000,115500000,-6400000,109100000,2900000,2900000,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4,1,1,-4,0,0
NWN,Northwest Natural Gas Company,Public Utilities,2013,Balance Sheet,9500000,548000,14800000,145300000,60700000,109700000,330400000,2900000000,-855900000,0,381900000,3000000000,96100000,248200000,7100000,88500000,432800000,681700000,-532000000,341300000,2200000000,0,0,751900000,751900000,27100000,0,0,NWN,2013,Income Statement,758500000,514600000,75900000,168000000,0,0,620500000,138100000,16000000,0,45200000,-6600000,102200000,-41700000,60500000,27000000,27000000,2,2,0,0,0,-100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
EPD,Enterprise Products Partners L.P.,Public Utilities,2013,Balance Sheet,122500000,40800000,122500000,5500000000,1100000000,325500000,7000000000,34000000000,-7100000000,3500000000,3700000000,40100000000,874200000,1100000000,5900000000,6200000000,8200000000,16200000000,-60800000,172300000,24700000000,-10200000,0,15200000000,15200000000,1900000000,0,0,EPD,2013,Income Statement,47700000000,42900000000,1200000000,3600000000,119600000,0,44300000000,3500000000,16500000,-93600000,905300000,-120800000,2700000000,-57500000,2600000000,1800000000,1800000000,1,1,0,0,-10200000,167300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
SJI,South Jersey Industries Inc.,Public Utilities,2013,Balance Sheet,3800000,-820000,60100000,304200000,60600000,48500000,482900000,2300000000,-444000000,0,363900000,2900000000,259800000,374900000,6400000,130300000,765000000,701100000,-319400000,106300000,2100000000,0,0,827000000,827000000,65400000,9400000,0,SJI,2013,Income Statement,751900000,587100000,64900000,100000000,0,0,661800000,90200000,2800000,-20500000,29800000,10500000,61800000,-19000000,81600000,64000000,64100000,1,1,-796000,0,0,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
ADGE,American DG Energy Inc.,Public Utilities,2013,Balance Sheet,9800000,-3600000,9800000,1300000,2200000,196900,13600000,29600000,-7600000,0,54800,35600000,871100,0,622600,800800,1700000,21700000,0,148100,23500000,-239600,0,10800000,10800000,49800000,0,0,ADGE,2013,Income Statement,7500000,5900000,1500000,108100,4200000,0,11600000,-4100000,257200,-??,1300000,0,-5100000,-13500,-4900000,48900000,48900000,0,0,0,0,-239600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3,0,0
BT,BT Group PLC,Public Utilities,2013,Balance Sheet,499600000,941800000,2500000000,2600000000,156400000,1000000000,7000000000,75200000000,-53700000000,4900000000,5100000000,37700000000,4400000000,2600000000,677200000,4200000000,11500000000,12600000000,-347700000,2500000000,38100000000,0,0,-397800000,-397800000,788000000,782000000,0,BT,2013,Income Statement,28800000000,14100000000,4500000000,10300000000,5600000000,0,24200000000,4700000000,3400000000,-4000000000,1000000000,818500000,3900000000,-647900000,3300000000,783200000,820300000,4,4,0,0,0,0,14200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0,1,-95,0,0
TSU,TIM Participacoes S/A,Public Utilities,2013,Balance Sheet,2200000000,395800000,2200000000,2100000000,125800000,154800000,4700000000,9500000000,-6100000000,2700000000,3100000000,11900000000,2200000000,413800000,0,514500000,3400000000,1700000000,-153400000,166000000,5700000000,0,0,6200000000,6200000000,483400000,87500000,0,TSU,2013,Income Statement,9200000000,4000000000,1300000000,3900000000,2600000000,0,8100000000,1100000000,36700000,-80100000,123700000,-93600000,985500000,-290900000,694600000,483400000,483500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
NEE,NextEra Energy Inc.,Public Utilities,2013,Balance Sheet,653000000,109000000,1200000000,2300000000,1200000000,1100000000,5700000000,69400000000,-16700000000,545000000,3700000000,69300000000,1200000000,4500000000,1300000000,3500000000,9200000000,24000000000,-8000000000,10000000000,51300000000,0,0,18000000000,18000000000,435000000,0,0,NEE,2013,Income Statement,14400000000,7800000000,2500000000,4100000000,0,0,11600000000,2800000000,406000000,-486000000,1200000000,720000000,2500000000,-801000000,1700000000,424200000,427000000,4,4,0,188000000,0,25000000,0,1300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
NTT,Nippon Telegraph and Telephone Corporation,Public Utilities,2013,Balance Sheet,5500000000,-708600000,10800000000,29200000000,3700000000,2400000000,49700000000,403400000000,-299400000000,26000000000,36600000000,209100000000,15300000000,8500000000,0,6300000000,37200000000,34800000000,-5300000000,5900000000,96000000000,-2200000000,0,88500000000,88500000000,4700000000,3600000000,0,NTT,2013,Income Statement,129200000000,55200000000,22900000000,51100000000,36100000000,3200000000,114200000000,15000000000,41000000,-454700000,703300000,402600000,14500000000,-5800000000,6300000000,4800000000,4800000000,1,1,0,0,-2200000000,0,-122300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
NGG,National Grid PLC,Public Utilities,2013,Balance Sheet,1000000000,551500000,9700000000,2300000000,441900000,2200000000,14500000000,79600000000,-24100000000,8500000000,8800000000,86400000000,3100000000,5200000000,0,2600000000,11300000000,37400000000,-6200000000,2400000000,70800000000,-1600000,0,15500000000,15500000000,733100000,0,0,NGG,2013,Income Statement,22700000000,6400000000,2200000000,14100000000,4800000000,23700000,16900000000,5800000000,466200000,-189600000,1800000000,91700000,4600000000,-986000000,3600000000,732800000,736400000,5,5,0,0,-1600000,0,28400000,3500000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0
DUK,Duke Energy Corporation,Public Utilities,2013,Balance Sheet,1500000000,77000000,1600000000,3000000000,3300000000,2700000000,10500000000,103100000000,-33600000000,16700000000,28800000000,114800000000,2400000000,2900000000,440000000,2700000000,8600000000,38200000000,-12100000000,7800000000,73400000000,-11000000,0,41300000000,41300000000,706000000,0,0,DUK,2013,Income Statement,24500000000,14300000000,3200000000,7000000000,0,0,18900000000,5700000000,54000000,-751000000,1800000000,397000000,3900000000,-1300000000,2700000000,706000000,706000000,4,4,17000000,0,-11000000,122000000,0,1300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
VZ,Verizon Communications Inc.,Public Utilities,2013,Balance Sheet,53500000000,50400000000,54100000000,12400000000,1000000000,3400000000,71000000000,220900000000,-131900000000,106200000000,110700000000,274100000000,5000000000,3900000000,5200000000,11800000000,27100000000,89700000000,-28600000000,5700000000,178700000000,-12100000000,0,38800000000,38800000000,2900000000,0,0,VZ,2013,Income Statement,120600000000,44900000000,16600000000,59100000000,33600000000,0,95100000000,25500000000,6200000000,-??,3400000000,48000000,29300000000,-5700000000,11500000000,2900000000,2900000000,4,4,0,0,-12100000000,142000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0
SUNW,Sunworks Inc.,Public Utilities,2013,Balance Sheet,10400,-23200,10400,0,0,0,15300,79700,-73000,23200,25200,47200,73800,3300000,83000,83000,3500000,0,0,0,3500000,0,0,-3400000,-3400000,8200000,4900,0,SUNW,2013,Income Statement,0,0,1800,-1800,1100000,108600,1100000,-1100000,60900,-2100000,725800,0,-3800000,0,-3800000,6500000,6500000,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DCM,NTT DoCoMo Inc. ADR,Technology,2013,Balance Sheet,5300000000,-342800000,5700000000,15400000000,1900000000,753100000,23800000000,73400000000,-46100000000,9700000000,13300000000,76900000000,7500000000,897500000,0,1600000000,12000000000,1800000000,-2400000000,1400000000,18700000000,-124500000,0,57700000000,57700000000,4100000000,0,0,DCM,2013,Income Statement,54000000000,21400000000,8500000000,24100000000,14100000000,1300000000,43900000000,10100000000,0,-131900000,21600000,218000000,10200000000,-4100000000,6000000000,4100000000,4100000000,1,1,0,0,-124500000,0,-226500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
SAAS,inContact Inc.,Technology,2013,Balance Sheet,49200000,312000,49200000,18700000,0,4200000,72100000,68000000,-44300000,10500000,12100000,107900000,9700000,3500000,1600000,5200000,24200000,4600000,0,0,33200000,0,0,74700000,74700000,55300000,0,0,SAAS,2013,Income Statement,130000000,55900000,11500000,62700000,71000000,12600000,138400000,-8400000,--,--,317000,-34000,-8700000,-283000,-9000000,54700000,54700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AAPL,Apple Inc.,Technology,2013,Balance Sheet,8700000000,3500000000,40500000000,20600000000,1800000000,10300000000,73300000000,28500000000,-11900000000,5800000000,10900000000,207000000000,22400000000,0,5500000000,20300000000,43700000000,17000000000,-16500000000,3700000000,83500000000,0,0,123500000000,123500000000,6300000000,0,0,AAPL,2013,Income Statement,170900000000,100500000000,6800000000,63600000000,15300000000,4500000000,122500000000,48300000000,-??,0,136000000,352000000,50200000000,-13100000000,37000000000,6500000000,6500000000,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
FB,Facebook Inc.,Technology,2013,Balance Sheet,1000000000,939000000,11400000000,1200000000,0,461000000,13100000000,4100000000,-1300000000,1700000000,1900000000,17900000000,268000000,239000000,87000000,397000000,1100000000,237000000,0,1100000000,2400000000,0,0,15500000000,15500000000,2500000000,0,0,FB,2013,Income Statement,7900000000,747000000,1000000000,6100000000,3200000000,1400000000,5000000000,2900000000,-??,-117000000,56000000,-13000000,2800000000,-1300000000,1500000000,1800000000,2500000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ACY,Aerocentury Corp.,Technology,2013,Balance Sheet,2100000,515900,2100000,5200000,0,0,7300000,203100000,-50700000,0,4400000,164100000,1200000,0,27300,6300000,7500000,77500000,-16100000,2800000,115000000,0,0,49100000,49100000,1500000,0,0,ACY,2013,Income Statement,27700000,8800000,7300000,11600000,7100000,0,23200000,4500000,0,--,4100000,4400000,4900000,-1700000,3200000,1500000,1600000,2,2,0,0,0,0,0,90200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
CUDA,Barracuda Networks Inc.,Technology,2013,Balance Sheet,88700000,-96400000,99500000,24100000,5100000,29400000,179400000,23300000,-6300000,41800000,62700000,280100000,12800000,0,0,166100000,179000000,5000000,-20400000,4500000,304200000,-794000,0,-21200000,-21200000,50000000,21200000,0,CUDA,2013,Income Statement,198900000,36800000,8300000,153800000,155400000,33800000,200500000,-1500000,0,-10900000,0,-839000,-13300000,-5100000,-7400000,45200000,45200000,0,0,0,0,-794000,0,0,0,-1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-13,0,0
CNET,ChinaNet Online Holdings Inc.,Technology,2013,Balance Sheet,3400000,-2000000,6900000,12500000,0,9600000,34300000,3500000,-2500000,19900000,19900000,56800000,421000,818000,294000,3900000,10200000,143000,-680000,0,11800000,-49000,0,45100000,45100000,22400000,5300000,0,CNET,2013,Income Statement,30300000,15500000,1600000,13200000,11700000,2000000,28800000,1500000,0,--,26000,-853000,716000,-816000,-234000,22300000,22300000,0,0,0,0,-49000,0,-183000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CVLT,CommVault Systems Inc.,Technology,2013,Balance Sheet,434000000,136900000,435900000,85000000,0,34600000,555500000,48100000,-27000000,0,7100000,604900000,3900000,0,23200000,176100000,212400000,0,-21200000,7100000,250800000,0,0,354000000,354000000,46400000,0,0,CVLT,2013,Income Statement,495900000,64800000,4900000,426100000,344700000,47400000,414500000,81300000,0,0,0,-427000,82000000,-28700000,53200000,45500000,48300000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
COYN,COPsync Inc.,Technology,2013,Balance Sheet,414000,239600,414100,101800,357900,116600,990400,248600,-113500,436500,436500,1600000,1400000,432400,0,2900000,4700000,701500,0,0,6500000,0,47,-4900000,-4900000,3500000,0,0,COYN,2013,Income Statement,4700000,3000000,472400,1300000,4800000,2200000,8300000,-3600000,0,0,29000,1800,-3600000,0,-3700000,3500000,3500000,-1,-1,0,0,0,0,0,0,-105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,0,0,0
DTRM,Determine Inc.,Technology,2013,Balance Sheet,12100000,-3800000,12100000,3500000,0,853000,16400000,3800000,-3400000,0,39000,16900000,1000000,6000000,754000,6900000,14500000,0,0,20000,16300000,0,0,520000,520000,2900000,0,0,DTRM,2013,Income Statement,17600000,7200000,214000,10100000,14000000,3700000,21500000,-3900000,0,-831000,20000,0,-4700000,0,-4700000,2800000,2800000,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,1,33,0,0
IDN,Intelligchekc Mobilisa Inc.,Technology,2013,Balance Sheet,224400,-1500000,224400,1000000,54700,107500,1400000,1600000,-1300000,16000000,16100000,17900000,478600,0,339000,1300000,2100000,0,0,0,2500000,0,0,15400000,15400000,3500000,0,0,IDN,2013,Income Statement,7300000,1800000,1100000,4400000,6800000,2100000,9700000,-2400000,0,0,0,0,-2400000,0,-2400000,3500000,3500000,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LTRX,Lantronix Inc.,Technology,2013,Balance Sheet,5200000,-6100000,5200000,3200000,8700000,431000,17600000,7100000,-5400000,9500000,9600000,29400000,2900000,214000,2400000,3800000,9100000,54000,-476000,0,9400000,0,0,20000000,20000000,14600000,0,0,LTRX,2013,Income Statement,46700000,24200000,852000,21600000,24100000,6700000,49100000,-2400000,0,-211000,59000,-18000,-2700000,-54000,-2800000,14600000,14600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
PCTY,Paylocity Holding Corporation,Technology,2013,Balance Sheet,0,-1400000,7600000,356600000,0,2500000,366700000,16800000,-8300000,2600000,2600000,377900000,880000,625000,1200000,357400000,364400000,938000,-269000,0,367900000,0,36600000,-26600000,10000000,48000000,0,0,PCTY,2013,Income Statement,77300000,34100000,5600000,37600000,37600000,6800000,77300000,31000,0,0,16000,0,15000,-602000,-2300000,48000000,48000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
PEGA,Pegasystems Inc.,Technology,2013,Balance Sheet,80200000,2700000,156700000,170300000,0,20200000,347200000,47300000,-18400000,94000000,96600000,533700000,3700000,0,16700000,134800000,187400000,0,-60900000,29100000,261900000,0,0,271800000,271800000,76300000,0,0,PEGA,2013,Income Statement,509000000,142800000,20200000,346000000,284800000,79700000,447800000,61100000,0,-3800000,0,-1500000,56400000,-18400000,38000000,75900000,78000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
RBCN,Rubicon Technology Inc.,Technology,2013,Balance Sheet,195000,1500000,34800000,3600000,46800000,1200000,86400000,172700000,-57400000,0,1100000,202700000,4500000,0,726000,1600000,6600000,0,-267000,0,6900000,0,0,195800000,195800000,22700000,0,0,RBCN,2013,Income Statement,41500000,50800000,12700000,-21900000,12400000,2300000,75800000,-34300000,0,--,95000,-1100000,-35500000,-5200000,-30400000,22600000,22600000,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0
SEDG,SolarEdge Technologies Inc.,Technology,2013,Balance Sheet,14600000,-6300000,14600000,14000000,14800000,806000,44100000,9300000,-5000000,0,603000,49100000,16500000,6200000,6200000,14700000,40800000,7400000,0,0,58600000,0,105500000,-115000000,-9500000,39100000,0,0,SEDG,2013,Income Statement,79000000,72800000,1800000,4400000,30900000,15800000,105500000,-26500000,0,-974000,1100000,519000,-28100000,-108000,-28200000,39100000,39100000,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,-5,0,0
TBI,TrueBlue Inc.,Technology,2013,Balance Sheet,122000000,-7500000,136700000,202600000,0,17100000,356500000,142200000,-87700000,113700000,121400000,719500000,29900000,2300000,0,223000,121400000,29700000,-4200000,10100000,326100000,0,0,393400000,393400000,41100000,0,0,TBI,2013,Income Statement,1700000000,1200000000,20500000,421800000,355000000,0,1600000000,66800000,0,-7200000,1200000,0,60900000,-16000000,44900000,40200000,40500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0
WEB,Web.com Group Inc.,Technology,2013,Balance Sheet,13800000,-1400000,13800000,17100000,0,38200000,76400000,78200000,-36200000,1000000000,1200000000,1300000000,10400000,6600000,15600000,227000000,257300000,556500000,-102400000,4900000,1100000000,0,0,170000000,170000000,51200000,7300000,0,WEB,2013,Income Statement,492300000,171700000,79800000,240700000,228800000,32500000,480400000,11900000,0,-22300000,34300000,385000,-44300000,-21300000,-65700000,48900000,48900000,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
GRPN,Groupon Inc.,Technology,2013,Balance Sheet,1300000000,31200000,1300000000,136600000,67700000,56400000,1600000000,244700000,-110300000,249300000,288100000,2000000000,27600000,0,915000000,1000000000,1200000000,0,-25100000,13300000,1300000000,-6400000,0,713700000,713700000,668100000,46700000,0,GRPN,2013,Income Statement,2600000000,1000000000,89400000,1500000000,1400000000,0,2500000000,75700000,11000,-85900000,291000,-10100000,-18900000,-70000000,-95400000,663900000,663900000,0,0,0,0,-6400000,-44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
FSNN,Fusion Telecommunications International Inc.,Technology,2013,Balance Sheet,0,5600000,8200000,6100000,0,0,14700000,16800000,-5700000,40200000,41900000,69000000,5900000,1200000,3500000,5700000,12900000,38400000,0,10600000,62000000,0,235,7000000,7000000,6100000,468600,0,FSNN,2013,Income Statement,61500000,42700000,3600000,15200000,18800000,0,65000000,-3500000,1800000,-598300,2600000,-23000,-5000000,-51900,-5100000,4500000,4500000,-1,-1,0,0,0,0,0,0,-402500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,10,0,0
MSFT,Microsoft Corp.,Technology,2013,Balance Sheet,2000000000,-3100000000,77000000000,17500000000,1900000000,5000000000,101500000000,22500000000,-12500000000,17700000000,20100000000,142400000000,4800000000,3000000000,412000000,23000000000,37400000000,12600000000,-1700000000,290000000,63500000000,0,0,78900000000,78900000000,8300000000,0,0,MSFT,2013,Income Statement,77700000000,16500000000,3800000000,57400000000,30800000000,10400000000,51100000000,26600000000,195000000,-404000000,429000000,444000000,27100000000,-5200000000,21900000000,8400000000,8500000000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
GOOGL,Alphabet Inc.,Technology,2013,Balance Sheet,9900000000,4100000000,58700000000,9400000000,426000000,4400000000,72900000000,23800000000,-7300000000,17600000000,19500000000,110900000000,2500000000,3000000000,5500000000,7900000000,15900000000,2200000000,-1900000000,3400000000,23600000000,0,0,87300000000,87300000000,671000000,0,0,GOOGL,2013,Income Statement,59700000000,21900000000,3900000000,33900000000,19900000000,7900000000,45700000000,14000000000,208000000,-123000000,83000000,-285000000,14500000000,-2300000000,12200000000,665000000,795500000,19,18,-51000000,757000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
TSM,Taiwan Semiconductor Manufacturing Co. Ltd. ADR,Technology,2013,Balance Sheet,8100000000,3300000000,8200000000,2500000000,1300000000,12800000,12000000000,65200000000,-38600000000,385500000,434800000,42400000000,548800000,524900000,559500000,3800000000,6400000000,7100000000,-242900000,212000000,13900000000,-4300000,0,28400000000,28400000000,5200000000,0,0,TSM,2013,Income Statement,20100000000,5900000000,5300000000,9000000000,1900000000,1600000000,13000000000,7000000000,217100000,-240200000,89000000,123000000,7100000000,-924000000,6300000000,5200000000,5200000000,1,1,0,0,-4300000,0,133600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
IBM,International Business Machines Corp.,Technology,2013,Balance Sheet,10700000000,304000000,11100000000,31800000000,2300000000,6100000000,51400000000,40500000000,-26700000000,35100000000,44400000000,126200000000,7500000000,6900000000,4700000000,17300000000,40200000000,32900000000,-1300000000,4700000000,103300000000,0,0,22800000000,22800000000,1100000000,0,0,IBM,2013,Income Statement,99800000000,47300000000,4700000000,47800000000,28200000000,6000000000,80100000000,19600000000,257000000,-1600000000,427000000,1600000000,19500000000,-3000000000,16500000000,1100000000,1100000000,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,0,0
STAF,Staffing 360 Solutions Inc.,Technology,2013,Balance Sheet,262800,244000,262800,529000,0,52400,844200,31600,-1900,2400000,2400000,3300000,596600,309300,182600,742200,1600000,0,0,894000,2500000,0,0,778400,778400,1200000,0,0,STAF,2013,Income Statement,647700,448500,22800,176500,2600000,0,3100000,-2400000,40000,0,1000000,0,-3400000,0,-3400000,783500,783500,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,0,4,0,0
JBT,John Bean Technologies Corporation,Technology,2013,Balance Sheet,29400000,-69600000,29400000,186400000,117600000,56700000,396600000,374600000,-241900000,57400000,69800000,621200000,90800000,6300000,0,139900000,277600000,94100000,-1000000,31700000,466800000,0,0,154400000,154400000,29000000,6500000,0,JBT,2013,Income Statement,934200000,676700000,25000000,232500000,178300000,14000000,880000000,54200000,400000,-2300000,7600000,900000,47800000,-13800000,33100000,29200000,29700000,1,1,-900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0
ORCL,Oracle Corp.,Technology,2013,Balance Sheet,14600000000,-342000000,32200000000,6900000000,240000000,2400000000,41700000000,5800000000,-2700000000,34000000000,36300000000,81800000000,419000000,0,160000000,9600000000,12900000000,18500000000,-593000000,4800000000,36700000000,-112000000,0,44600000000,44600000000,4600000000,0,0,ORCL,2013,Income Statement,37200000000,6600000000,2900000000,27700000000,13300000000,4900000000,22700000000,14400000000,604000000,-352000000,797000000,-114000000,14000000000,-3000000000,10900000000,4800000000,4800000000,2,2,0,0,-112000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
DDAY,DraftDay Fantasy Sports Inc.,Technology,2013,Balance Sheet,0,-1600000,1400000,3000000,0,0,5300000,3600000,-827000,7900000,8000000,16800000,5600000,10000000,0,8600000,24200000,24800000,0,5100000,54200000,0,0,-37400000,-37400000,1100000,915000,0,DDAY,2013,Income Statement,13900000,8500000,3800000,1700000,98700000,0,110900000,-97000000,7000000,0,1500000,87000,-91300000,-70000,-91400000,1000000,1000000,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-7,1,0,0,0
